longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,medianHouseValue
-122.23,37.88,41.0,880.0,129.0,452600.0
-122.22,37.86,21.0,7099.0,1106.0,358500.0
-122.24,37.85,52.0,1467.0,190.0,352100.0
-122.25,37.85,52.0,1274.0,235.0,341300.0
-122.25,37.85,52.0,1627.0,280.0,342200.0
-122.25,37.85,52.0,919.0,213.0,269700.0
-122.25,37.84,52.0,2535.0,489.0,299200.0
-122.25,37.84,52.0,3104.0,687.0,241400.0
-122.26,37.84,42.0,2555.0,665.0,226700.0
-122.25,37.84,52.0,3549.0,707.0,261100.0
-122.26,37.85,52.0,2202.0,434.0,281500.0
-122.26,37.85,52.0,3503.0,752.0,241800.0
-122.26,37.85,52.0,2491.0,474.0,213500.0
-122.26,37.84,52.0,696.0,191.0,191300.0
-122.26,37.85,52.0,2643.0,626.0,159200.0
-122.26,37.85,50.0,1120.0,283.0,140000.0
-122.27,37.85,52.0,1966.0,347.0,152500.0
-122.27,37.85,52.0,1228.0,293.0,155500.0
-122.26,37.84,50.0,2239.0,455.0,158700.0
-122.27,37.84,52.0,1503.0,298.0,162900.0
-122.27,37.85,40.0,751.0,184.0,147500.0
-122.27,37.85,42.0,1639.0,367.0,159800.0
-122.27,37.84,52.0,2436.0,541.0,113900.0
-122.27,37.84,52.0,1688.0,337.0,99700.0
-122.27,37.84,52.0,2224.0,437.0,132600.0
-122.28,37.85,41.0,535.0,123.0,107500.0
-122.28,37.85,49.0,1130.0,244.0,93800.0
-122.28,37.85,52.0,1898.0,421.0,105500.0
-122.28,37.84,50.0,2082.0,492.0,108900.0
-122.28,37.84,52.0,729.0,160.0,132000.0
-122.28,37.84,49.0,1916.0,447.0,122300.0
-122.28,37.84,52.0,2153.0,481.0,115200.0
-122.27,37.84,48.0,1922.0,409.0,110400.0
-122.27,37.83,49.0,1655.0,366.0,104900.0
-122.27,37.83,51.0,2665.0,574.0,109700.0
-122.27,37.83,49.0,1215.0,282.0,97200.0
-122.27,37.83,48.0,1798.0,432.0,104500.0
-122.28,37.83,52.0,1511.0,390.0,103900.0
-122.26,37.83,52.0,1470.0,330.0,191400.0
-122.26,37.83,52.0,2432.0,715.0,176000.0
-122.26,37.83,52.0,1665.0,419.0,155400.0
-122.26,37.83,51.0,936.0,311.0,150000.0
-122.26,37.84,49.0,713.0,202.0,118800.0
