longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,medianHouseValue
-120.58,35.0,37.0,523.0,119.0,106300.0
-118.17,33.98,31.0,1236.0,329.0,155400.0
-122.22,37.81,52.0,1971.0,335.0,273700.0
-117.91,33.66,21.0,1708.0,505.0,193800.0
-121.92,37.24,27.0,1265.0,216.0,281200.0
-117.01,32.71,20.0,3506.0,692.0,129100.0
-116.39,34.15,15.0,5583.0,1149.0,73300.0
-120.67,35.5,15.0,2752.0,546.0,175000.0
-118.18,34.04,36.0,1807.0,630.0,129000.0
-118.08,34.0,32.0,1165.0,358.0,166300.0
-121.22,37.79,36.0,1052.0,221.0,105000.0
-117.81,33.8,25.0,2765.0,475.0,230700.0
-117.39,33.96,49.0,2527.0,461.0,114400.0
-117.29,34.12,47.0,1648.0,432.0,68200.0
-122.24,37.79,43.0,1626.0,376.0,112200.0
-118.28,33.85,27.0,489.0,98.0,180800.0
-118.1,34.18,39.0,2321.0,336.0,450000.0
-118.09,34.07,45.0,726.0,146.0,183200.0
-120.56,35.48,12.0,4161.0,731.0,267500.0
-118.15,34.07,52.0,1983.0,344.0,234400.0
-117.93,33.86,17.0,1627.0,398.0,186600.0
-118.46,34.01,48.0,1640.0,322.0,500001.0
-118.16,33.84,36.0,2444.0,432.0,218800.0
-118.18,33.98,30.0,1735.0,573.0,156100.0
-122.29,40.43,21.0,2842.0,640.0,59800.0
-121.94,37.24,26.0,2561.0,388.0,363800.0
-117.83,33.65,8.0,2149.0,426.0,250400.0
-117.96,33.76,22.0,2520.0,556.0,193900.0
-117.38,33.97,30.0,2953.0,703.0,150000.0
-117.64,33.68,4.0,5687.0,970.0,243400.0
-120.97,37.84,28.0,2368.0,430.0,141900.0
-118.38,34.19,42.0,1308.0,289.0,181500.0
-117.61,34.08,20.0,3550.0,736.0,128800.0
-121.82,36.86,17.0,1573.0,272.0,420000.0
-118.08,34.13,28.0,4465.0,985.0,228500.0
-117.25,34.49,4.0,2372.0,361.0,170900.0
-117.93,33.75,24.0,1380.0,339.0,162800.0
-118.37,34.23,32.0,1444.0,317.0,164600.0
-122.24,37.47,35.0,2283.0,491.0,318600.0
-118.06,34.1,38.0,1960.0,330.0,265900.0
-118.06,33.99,38.0,862.0,178.0,186200.0
-122.67,38.45,24.0,2622.0,525.0,242600.0
-118.32,34.02,52.0,2511.0,587.0,127100.0
-118.37,34.13,28.0,4287.0,627.0,500001.0
-122.47,37.74,52.0,2055.0,265.0,500001.0
-118.14,33.97,31.0,1161.0,267.0,177000.0
-122.09,37.39,43.0,2065.0,535.0,327700.0
-117.71,33.57,4.0,3289.0,753.0,226000.0
-118.34,34.18,45.0,3046.0,633.0,226900.0
-118.3,33.72,28.0,2647.0,658.0,253400.0
-117.11,32.7,33.0,1980.0,488.0,86400.0
-121.98,37.96,12.0,5048.0,1122.0,126700.0
-118.44,34.06,28.0,3910.0,959.0,500001.0
-117.95,33.82,35.0,1068.0,190.0,208700.0
-118.47,33.99,34.0,1875.0,501.0,321400.0
-122.53,37.87,20.0,1814.0,282.0,400000.0
-122.54,37.96,33.0,2534.0,495.0,500001.0
-118.49,34.2,35.0,1109.0,206.0,215800.0
-121.36,39.52,15.0,2490.0,527.0,85700.0
-121.93,37.32,52.0,1460.0,492.0,167500.0
-117.92,34.05,36.0,2241.0,419.0,161900.0
-121.36,36.81,7.0,4609.0,741.0,290500.0
-117.22,34.12,34.0,2457.0,499.0,82500.0
-119.71,36.74,18.0,8099.0,1670.0,88300.0
-117.43,34.1,43.0,1898.0,418.0,89900.0
-117.4,34.06,17.0,5451.0,1008.0,101600.0
-118.16,33.78,15.0,4798.0,1374.0,163300.0
-115.57,32.85,33.0,1365.0,269.0,62300.0
-122.28,37.75,20.0,1156.0,365.0,100000.0
-122.29,38.32,23.0,4312.0,993.0,153200.0
-121.03,37.69,6.0,2607.0,557.0,137700.0
-122.43,37.79,52.0,3020.0,842.0,500001.0
-115.48,32.8,21.0,1260.0,246.0,88500.0
-121.48,38.49,26.0,3165.0,806.0,78600.0
-118.43,33.83,19.0,6206.0,1611.0,420200.0
-120.58,38.77,21.0,1661.0,406.0,108700.0
-118.39,34.06,39.0,3299.0,831.0,500001.0
-122.02,37.35,22.0,3219.0,756.0,354400.0
-118.43,34.25,32.0,2433.0,553.0,159300.0
-122.4,37.78,52.0,464.0,202.0,112500.0
-118.32,34.11,48.0,4472.0,1579.0,410700.0
-119.6,37.29,13.0,1722.0,325.0,137500.0
-119.03,35.36,41.0,2551.0,594.0,76800.0
-121.82,39.72,42.0,2978.0,694.0,66300.0
-122.32,37.95,37.0,1887.0,353.0,196600.0
-117.9,34.07,36.0,1009.0,164.0,249400.0
-119.41,36.35,20.0,1743.0,340.0,52900.0
-122.04,37.96,28.0,1207.0,252.0,165700.0
-122.44,37.73,52.0,2381.0,492.0,270000.0
-121.25,38.8,14.0,5094.0,729.0,188700.0
-120.07,36.96,34.0,1457.0,239.0,96500.0
-122.3,37.92,32.0,3943.0,605.0,321600.0
-117.38,33.19,26.0,4123.0,1145.0,500000.0
-122.19,37.76,41.0,921.0,207.0,72500.0
-118.44,34.02,39.0,3278.0,632.0,465700.0
-121.25,36.32,12.0,4776.0,1082.0,100500.0
-121.03,37.67,24.0,2162.0,459.0,98300.0
-121.96,37.0,20.0,3847.0,727.0,305200.0
-121.74,39.59,24.0,1535.0,279.0,95100.0
-115.48,32.68,15.0,3414.0,666.0,91200.0
-118.6,34.15,28.0,4570.0,744.0,361900.0
-122.41,37.94,52.0,154.0,33.0,275000.0
-121.88,36.58,29.0,4910.0,871.0,450000.0
-121.89,37.31,40.0,1844.0,340.0,235200.0
-121.52,37.75,18.0,1544.0,272.0,327300.0
-120.87,37.07,26.0,2036.0,401.0,88600.0
-122.71,38.33,13.0,4011.0,936.0,157600.0
-120.59,37.36,11.0,3946.0,978.0,87300.0
-122.47,37.78,52.0,2169.0,522.0,446900.0
-118.04,34.06,31.0,957.0,295.0,153400.0
-121.27,37.96,41.0,461.0,101.0,54000.0
-118.3,33.96,39.0,2802.0,618.0,136300.0
-122.31,37.57,42.0,3157.0,676.0,292600.0
-119.28,36.32,29.0,2274.0,514.0,66900.0
-114.65,33.6,28.0,1678.0,322.0,94900.0
-118.07,33.93,5.0,906.0,187.0,171900.0
-117.85,34.12,30.0,4367.0,1033.0,192100.0
-120.95,37.59,43.0,1561.0,354.0,81500.0
-122.14,37.73,43.0,2264.0,390.0,235100.0
-121.82,37.36,34.0,1834.0,377.0,161500.0
-123.73,39.17,20.0,4620.0,1042.0,158800.0
-122.44,37.79,52.0,3785.0,808.0,500001.0
-117.25,32.8,31.0,2182.0,630.0,212500.0
-122.47,37.99,22.0,7274.0,1002.0,439200.0
-122.27,38.0,15.0,1216.0,166.0,240300.0
-117.34,34.07,46.0,1851.0,425.0,90500.0
-122.28,37.84,52.0,729.0,160.0,132000.0
-118.27,34.18,52.0,3034.0,406.0,498400.0
-117.7,33.53,5.0,6698.0,1254.0,288500.0
-118.33,34.11,38.0,3495.0,1100.0,438300.0
-123.02,38.36,16.0,1496.0,298.0,268800.0
-116.93,32.83,21.0,1283.0,278.0,163500.0
-117.72,33.99,14.0,5622.0,861.0,206700.0
-117.35,33.16,10.0,1684.0,515.0,206300.0
-121.23,37.95,36.0,811.0,168.0,89200.0
-122.49,37.79,52.0,2488.0,281.0,500001.0
-119.85,36.84,12.0,2272.0,304.0,213900.0
-117.06,32.79,21.0,3787.0,492.0,391300.0
-122.12,37.68,37.0,2412.0,394.0,191100.0
-120.41,38.03,14.0,2061.0,465.0,115300.0
-118.1,34.16,46.0,2863.0,513.0,330200.0
-121.83,37.26,7.0,3609.0,751.0,213100.0
-118.1,33.79,35.0,2370.0,379.0,287200.0
-117.98,33.61,17.0,2054.0,291.0,383900.0
-122.43,37.8,52.0,2994.0,821.0,500000.0
-121.59,39.1,24.0,1107.0,261.0,48800.0
-117.41,33.97,24.0,950.0,183.0,125000.0
-122.37,40.52,18.0,4547.0,774.0,98100.0
-121.86,40.77,17.0,2816.0,639.0,65600.0
-118.96,35.39,23.0,5624.0,1148.0,79000.0
-122.07,37.71,40.0,1808.0,302.0,254900.0
-118.07,34.09,40.0,1745.0,370.0,198100.0
-121.17,37.88,22.0,1283.0,256.0,111800.0
-117.22,32.83,34.0,2936.0,597.0,176900.0
-121.83,37.31,19.0,11181.0,1895.0,232700.0
-121.06,39.04,14.0,1651.0,279.0,194800.0
-118.01,33.73,23.0,4095.0,578.0,302500.0
-119.32,36.21,29.0,1220.0,232.0,78300.0
-117.34,33.94,20.0,4589.0,594.0,236500.0
-118.45,34.01,37.0,1328.0,250.0,440100.0
-121.83,37.26,15.0,3243.0,551.0,257400.0
-118.17,34.05,35.0,1256.0,294.0,121800.0
-121.88,39.74,12.0,14631.0,3298.0,153100.0
-121.94,37.95,18.0,2541.0,355.0,288000.0
-117.94,33.62,28.0,1765.0,390.0,439100.0
-117.42,34.08,21.0,4460.0,930.0,127500.0
-117.29,33.18,17.0,821.0,176.0,160600.0
-124.15,41.81,17.0,3276.0,628.0,103100.0
-122.41,37.62,39.0,3119.0,758.0,242700.0
-117.02,32.81,14.0,3173.0,599.0,182200.0
-119.74,36.76,36.0,912.0,216.0,52800.0
-117.65,33.46,19.0,7034.0,1139.0,277300.0
-117.15,32.91,10.0,2349.0,431.0,183200.0
-124.16,40.78,50.0,2285.0,403.0,85400.0
-123.35,40.99,23.0,141.0,59.0,66000.0
-120.75,37.44,27.0,2295.0,424.0,123200.0
-118.45,34.16,22.0,7828.0,2038.0,318300.0
-118.02,33.72,22.0,8844.0,1706.0,267800.0
-121.85,37.41,25.0,1837.0,278.0,265300.0
