longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,medianHouseValue,population,households,medianIncome
-120.58,35.0,37.0,523.0,119.0,106300.0,374.0,95.0,1.4726
-118.17,33.98,31.0,1236.0,329.0,155400.0,1486.0,337.0,3.0938
-122.22,37.81,52.0,1971.0,335.0,273700.0,765.0,308.0,6.5217
-117.91,33.66,21.0,1708.0,505.0,193800.0,1099.0,434.0,3.225
-121.92,37.24,27.0,1265.0,216.0,281200.0,660.0,232.0,5.3911
-117.01,32.71,20.0,3506.0,692.0,129100.0,1977.0,668.0,2.9810000000000003
-116.39,34.15,15.0,5583.0,1149.0,73300.0,2709.0,964.0,1.9779
-120.67,35.5,15.0,2752.0,546.0,175000.0,1422.0,545.0,3.2813
-118.18,34.04,36.0,1807.0,630.0,129000.0,2118.0,669.0,1.55
-118.08,34.0,32.0,1165.0,358.0,166300.0,997.0,361.0,0.9817
-121.22,37.79,36.0,1052.0,221.0,105000.0,712.0,212.0,1.7228
-117.81,33.8,25.0,2765.0,475.0,230700.0,1666.0,474.0,6.0531
-117.39,33.96,49.0,2527.0,461.0,114400.0,1344.0,451.0,4.0833
-117.29,34.12,47.0,1648.0,432.0,68200.0,1308.0,385.0,1.2069
-122.24,37.79,43.0,1626.0,376.0,112200.0,1284.0,357.0,2.2542
-118.28,33.85,27.0,489.0,98.0,180800.0,403.0,97.0,5.144
-118.1,34.18,39.0,2321.0,336.0,450000.0,880.0,339.0,7.7108
-118.09,34.07,45.0,726.0,146.0,183200.0,568.0,160.0,3.0347
-120.56,35.48,12.0,4161.0,731.0,267500.0,1609.0,615.0,5.0947
-118.15,34.07,52.0,1983.0,344.0,234400.0,887.0,331.0,3.2875
-117.93,33.86,17.0,1627.0,398.0,186600.0,1216.0,369.0,3.3438
-118.46,34.01,48.0,1640.0,322.0,500001.0,664.0,301.0,4.0
-118.16,33.84,36.0,2444.0,432.0,218800.0,1199.0,424.0,4.1538
-118.18,33.98,30.0,1735.0,573.0,156100.0,2237.0,545.0,2.3444
-122.29,40.43,21.0,2842.0,640.0,59800.0,1658.0,608.0,1.9943
-121.94,37.24,26.0,2561.0,388.0,363800.0,1165.0,393.0,7.3522
-117.83,33.65,8.0,2149.0,426.0,250400.0,950.0,399.0,4.1103
-117.96,33.76,22.0,2520.0,556.0,193900.0,2126.0,527.0,3.7734
-117.38,33.97,30.0,2953.0,703.0,150000.0,1406.0,580.0,2.6895
-117.64,33.68,4.0,5687.0,970.0,243400.0,2677.0,938.0,6.5069
-120.97,37.84,28.0,2368.0,430.0,141900.0,1231.0,403.0,2.883
-118.38,34.19,42.0,1308.0,289.0,181500.0,950.0,302.0,2.7379
