Date,Rate,High (est),Low (est)
1999-09-06,2068.55,0.0,0.0
1999-09-07,2078.17,2103.0,2053.7
1999-09-08,2091.05,0.0,0.0
1999-09-09,2093.84,2118.6,2069.4
1999-09-10,2087.55,0.0,0.0
1999-09-13,2062.96,2087.4,2038.8
1999-09-14,2047.08,0.0,0.0
1999-09-15,2040.93,2066.3,2015.8
1999-09-16,2047.17,2072.0,2022.7
1999-09-17,2060.87,2084.7,2037.3
1999-09-20,2065.02,2090.1,2040.3
1999-09-21,2061.61,0.0,0.0
1999-09-22,2080.33,2105.6,2055.4
1999-09-23,2085.85,0.0,0.0
1999-09-24,2086.59,2112.0,2061.5
1999-09-27,2095.3,0.0,0.0
1999-09-28,2099.7,2123.9,2075.7
1999-09-29,2119.0,2143.7,2094.6
1999-09-30,2141.28,2165.4,2117.4
1999-10-01,2148.14,2173.6,2123.0
1999-10-04,2138.05,0.0,0.0
1999-10-05,2135.98,2162.2,2110.1
1999-10-06,2139.94,0.0,0.0
1999-10-07,2136.95,2161.7,2112.5
1999-10-08,2129.02,0.0,0.0
1999-10-11,2121.28,0.0,0.0
1999-10-12,2122.8,2147.3,2098.6
1999-10-13,2137.87,0.0,0.0
1999-10-14,2147.5,2173.3,2122.0
1999-10-15,2158.58,2182.6,2134.8
1999-10-18,2137.0,0.0,0.0
1999-10-19,2112.35,2136.6,2088.3
1999-10-20,2100.39,2124.3,2076.8
1999-10-21,2096.08,2120.6,2071.9
1999-10-22,2096.37,2119.9,2073.1
1999-10-25,2095.3,0.0,0.0
1999-10-26,2079.38,2104.4,2054.7
1999-10-27,2068.37,0.0,0.0
1999-10-28,2070.75,0.0,0.0
1999-10-29,2083.71,0.0,0.0
1999-11-01,2075.88,2100.9,2051.1
1999-11-02,2062.73,2087.7,2038.1
1999-11-03,2058.8,0.0,0.0
1999-11-04,2046.78,2070.0,2023.8
1999-11-05,2046.78,0.0,0.0
1999-11-08,2041.56,2066.2,2017.2
1999-11-09,2038.35,2063.8,2013.2
1999-11-10,2037.7,2060.3,2015.4
1999-11-11,2035.49,2059.0,2012.3
1999-11-12,2028.03,2051.9,2004.4
1999-11-15,2027.04,2049.7,2004.6
1999-11-16,2024.3,0.0,0.0
1999-11-17,2010.57,0.0,0.0
1999-11-18,1992.75,2016.8,1969.0
